National LGA Name 2024,SA4 Name 2021,National Remoteness Areas,National Road Type,location_id
Rockingham,Perth - South West,Major Cities of Australia,Local Road,1605
Cue,Western Australia - Outback (South),Very Remote Australia,National or State Highway,1606
Gawler,Adelaide - North,Major Cities of Australia,Local Road,1607
Hornsby,Sydney - Ryde,Major Cities of Australia,National or State Highway,1608
Hay,Murray,Outer Regional Australia,Local Road,1609
Griffith,Riverina,Outer Regional Australia,Access road,1610
MacDonnell,Northern Territory - Outback,Very Remote Australia,Access road,1611
Gympie,Wide Bay,Inner Regional Australia,Access road,1612
Wagin,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1613
Whitehorse,Melbourne - Outer East,Major Cities of Australia,Arterial Road,1614
Kingborough,Hobart,Inner Regional Australia,Arterial Road,1615
Cabonne,Central West,Inner Regional Australia,Arterial Road,1616
Meekatharra,Western Australia - Outback (South),Very Remote Australia,Local Road,1617
Unincorporated NSW,Far West and Orana,Remote Australia,Access road,1618
Wollondilly,Sydney - Outer South West,Major Cities of Australia,Local Road,1619
Kalamunda,Perth - South East,Major Cities of Australia,Arterial Road,1620
Balonne,Darling Downs - Maranoa,Remote Australia,Collector Road,1621
Dardanup,Bunbury,Inner Regional Australia,Arterial Road,1622
Banana,Central Queensland,Remote Australia,National or State Highway,1623
Mid-Coast,Hunter Valley exc Newcastle,Inner Regional Australia,National or State Highway,1624
Derby-West Kimberley,Western Australia - Outback (North),Very Remote Australia,Local Road,1625
Northern Grampians,North West,Inner Regional Australia,Collector Road,1626
Manjimup,Bunbury,Outer Regional Australia,Arterial Road,1627
Yorke Peninsula,Barossa - Yorke - Mid North,Outer Regional Australia,Collector Road,1628
Fraser Coast,Wide Bay,Remote Australia,Access road,1629
Mid Murray,South Australia - South East,Outer Regional Australia,National or State Highway,1630
Lockhart River,Queensland - Outback,Very Remote Australia,Collector Road,1631
Cleve,South Australia - Outback,Remote Australia,Arterial Road,1632
Gold Coast,Gold Coast,Inner Regional Australia,Local Road,1633
The Hills,Sydney - Baulkham Hills and Hawkesbury,Inner Regional Australia,Arterial Road,1634
Quairading,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1635
Mackay,Mackay - Isaac - Whitsunday,Inner Regional Australia,Sub-arterial Road,1636
Swan,Perth - North East,Major Cities of Australia,National or State Highway,1637
Hinchinbrook,Townsville,Remote Australia,Sub-arterial Road,1638
Moreton Bay,Moreton Bay - South,Major Cities of Australia,National or State Highway,1639
East Gippsland,Latrobe - Gippsland,Remote Australia,Arterial Road,1640
Greater Geraldton,Western Australia - Outback (South),Outer Regional Australia,Arterial Road,1641
Capel,Bunbury,Inner Regional Australia,Local Road,1642
Perth,Perth - Inner,Major Cities of Australia,National or State Highway,1643
Katherine,Northern Territory - Outback,Remote Australia,Sub-arterial Road,1644
Murray,Mandurah,Inner Regional Australia,Arterial Road,1645
Wyndham-East Kimberley,Western Australia - Outback (North),Very Remote Australia,Arterial Road,1646
Banyule,Melbourne - North East,Major Cities of Australia,Collector Road,1647
Dardanup,Bunbury,Inner Regional Australia,Local Road,1648
Randwick,Sydney - City and Inner South,Major Cities of Australia,Arterial Road,1649
Bathurst,Central West,Inner Regional Australia,Access road,1650
Mundaring,Perth - North East,Major Cities of Australia,Local Road,1651
North Sydney,Sydney - North Sydney and Hornsby,Major Cities of Australia,Collector Road,1652
Wentworth,Murray,Remote Australia,National or State Highway,1653
Junee,Riverina,Inner Regional Australia,Sub-arterial Road,1654
Charles Sturt,Adelaide - West,Major Cities of Australia,Local Road,1655
Mornington,Queensland - Outback,Very Remote Australia,Local Road,1656
Wandering,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1657
Esperance,Western Australia - Outback (South),Remote Australia,Arterial Road,1658
Clare and Gilbert Valleys,Barossa - Yorke - Mid North,Inner Regional Australia,Collector Road,1659
Cuballing,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,1660
Wanneroo,Perth - North West,Inner Regional Australia,Local Road,1661
Monash,Melbourne - Inner South,Major Cities of Australia,National or State Highway,1662
Mundaring,Perth - North East,Major Cities of Australia,Arterial Road,1663
Joondalup,Perth - North West,Major Cities of Australia,Arterial Road,1664
Richmond Valley,Richmond - Tweed,Inner Regional Australia,Arterial Road,1665
Nannup,Bunbury,Outer Regional Australia,Arterial Road,1666
Broken Hill,Far West and Orana,Outer Regional Australia,Local Road,1667
Serpentine-Jarrahdale,Perth - South East,Major Cities of Australia,Local Road,1668
Unley,Adelaide - Central and Hills,Major Cities of Australia,Arterial Road,1669
Byron,Richmond - Tweed,Inner Regional Australia,Access road,1670
Brisbane,Brisbane - South,Major Cities of Australia,Pedestrian Thoroughfare,1671
Ngaanyatjarraku,Western Australia - Outback (South),Very Remote Australia,Arterial Road,1672
Newcastle,Newcastle and Lake Macquarie,Major Cities of Australia,Collector Road,1673
Coorong,South Australia - South East,Outer Regional Australia,Local Road,1674
Parramatta,Sydney - Parramatta,Major Cities of Australia,National or State Highway,1675
Junee,Riverina,Outer Regional Australia,Arterial Road,1676
Circular Head,West and North West,Outer Regional Australia,Local Road,1677
Port Macquarie-Hastings,Mid North Coast,Inner Regional Australia,Sub-arterial Road,1678
Mount Isa,Queensland - Outback,Remote Australia,Sub-arterial Road,1679
Wudinna,South Australia - Outback,Very Remote Australia,Local Road,1680
Armadale,Perth - South East,Major Cities of Australia,Local Road,1681
Brisbane,Brisbane - West,Inner Regional Australia,Sub-arterial Road,1682
Darebin,Melbourne - Inner,Major Cities of Australia,Sub-arterial Road,1683
Corrigin,Western Australia - Wheat Belt,Remote Australia,National or State Highway,1684
Lake Macquarie,Newcastle and Lake Macquarie,Inner Regional Australia,Sub-arterial Road,1685
Anangu Pitjantjatjara Yankunytjatjara,South Australia - Outback,Very Remote Australia,Local Road,1686
Northern Grampians,North West,Inner Regional Australia,Local Road,1687
Temora,Riverina,Outer Regional Australia,Arterial Road,1688
Elliston,South Australia - Outback,Very Remote Australia,Arterial Road,1689
Fremantle,Perth - South West,Major Cities of Australia,Local Road,1690
Toodyay,Western Australia - Wheat Belt,Inner Regional Australia,Arterial Road,1691
Parkes,Central West,Outer Regional Australia,Sub-arterial Road,1692
Streaky Bay,South Australia - Outback,Very Remote Australia,Sub-arterial Road,1693
Goyder,Barossa - Yorke - Mid North,Inner Regional Australia,Sub-arterial Road,1694
Singleton,Hunter Valley exc Newcastle,Inner Regional Australia,Arterial Road,1695
Port Stephens,Hunter Valley exc Newcastle,Major Cities of Australia,Arterial Road,1696
Federation,Riverina,Outer Regional Australia,Sub-arterial Road,1697
Holdfast Bay,Adelaide - South,Major Cities of Australia,Collector Road,1698
Southern Grampians,Warrnambool and South West,Inner Regional Australia,Local Road,1699
Victoria Plains,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1700
Somerset,Ipswich,Inner Regional Australia,Collector Road,1701
Cabonne,Central West,Inner Regional Australia,Sub-arterial Road,1702
Northampton,Western Australia - Outback (South),Remote Australia,Arterial Road,1703
Melville,Perth - South West,Major Cities of Australia,National or State Highway,1704
Yass Valley,Capital Region,Major Cities of Australia,Sub-arterial Road,1705
Lachlan,Central West,Remote Australia,Local Road,1706
Bridgetown-Greenbushes,Bunbury,Outer Regional Australia,National or State Highway,1707
Harvey,Bunbury,Inner Regional Australia,Arterial Road,1708
Lower Eyre Peninsula,South Australia - Outback,Remote Australia,Arterial Road,1709
Longreach,Queensland - Outback,Very Remote Australia,Local Road,1710
Mount Alexander,Bendigo,Inner Regional Australia,Sub-arterial Road,1711
Kangaroo Island,South Australia - South East,Remote Australia,Access road,1712
Southern Downs,Darling Downs - Maranoa,Outer Regional Australia,Sub-arterial Road,1713
Singleton,Hunter Valley exc Newcastle,Outer Regional Australia,National or State Highway,1714
Bayside (NSW),Sydney - City and Inner South,Major Cities of Australia,National or State Highway,1715
Moyne,Warrnambool and South West,Outer Regional Australia,Arterial Road,1716
Temora,Riverina,Outer Regional Australia,Local Road,1717
Kimba,South Australia - Outback,Remote Australia,National or State Highway,1718
Isaac,Mackay - Isaac - Whitsunday,Outer Regional Australia,Local Road,1719
Moira,Shepparton,Inner Regional Australia,Local Road,1720
Ku-ring-gai,Sydney - North Sydney and Hornsby,Major Cities of Australia,Local Road,1721
Victoria Park,Perth - South East,Major Cities of Australia,Arterial Road,1722
Central Goldfields,Ballarat,Inner Regional Australia,National or State Highway,1723
Brisbane,Brisbane - East,Major Cities of Australia,National or State Highway,1724
South Gippsland,Latrobe - Gippsland,Inner Regional Australia,Arterial Road,1725
Wollondilly,Sydney - Outer South West,Major Cities of Australia,National or State Highway,1726
Central Goldfields,Ballarat,Inner Regional Australia,Local Road,1727
Hepburn,Ballarat,Inner Regional Australia,Access road,1728
Katanning,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1729
Roper Gulf,Northern Territory - Outback,Very Remote Australia,Local Road,1730
Jerramungup,Western Australia - Wheat Belt,Remote Australia,Arterial Road,1731
Kingston (Vic.),Melbourne - South East,Major Cities of Australia,Collector Road,1732
Warrumbungle,Central West,Outer Regional Australia,Sub-arterial Road,1733
Southern Mallee,South Australia - South East,Remote Australia,Arterial Road,1734
Carnamah,Western Australia - Outback (South),Remote Australia,Arterial Road,1735
Derwent Valley,South East,Outer Regional Australia,Local Road,1736
Hepburn,Ballarat,Inner Regional Australia,Sub-arterial Road,1737
Clare and Gilbert Valleys,Barossa - Yorke - Mid North,Outer Regional Australia,Arterial Road,1738
Kingborough,South East,Outer Regional Australia,Local Road,1739
Nambucca Valley,Mid North Coast,Inner Regional Australia,Arterial Road,1740
Ashburton,Western Australia - Outback (North),Very Remote Australia,Arterial Road,1741
Bathurst,Central West,Inner Regional Australia,Arterial Road,1742
Karratha,Western Australia - Outback (North),Remote Australia,Arterial Road,1743
Ceduna,South Australia - Outback,Very Remote Australia,National or State Highway,1744
West Arthur,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1745
Alice Springs,Northern Territory - Outback,Remote Australia,Collector Road,1746
Playford,Adelaide - North,Major Cities of Australia,Arterial Road,1747
Nambucca Valley,Mid North Coast,Inner Regional Australia,Local Road,1748
Wyndham-East Kimberley,Western Australia - Outback (North),Very Remote Australia,Local Road,1749
Cambridge,Perth - Inner,Major Cities of Australia,Arterial Road,1750
Cootamundra-Gundagai,Riverina,Inner Regional Australia,National or State Highway,1751
Onkaparinga,Adelaide - South,Inner Regional Australia,Sub-arterial Road,1752
Moorabool,Melbourne - West,Major Cities of Australia,Local Road,1753
Mount Gambier,South Australia - South East,Outer Regional Australia,Collector Road,1754
Adelaide Hills,Adelaide - Central and Hills,Inner Regional Australia,Access road,1755
Gosnells,Perth - South East,Major Cities of Australia,Local Road,1756
Towong,Hume,Inner Regional Australia,Arterial Road,1757
Bundaberg,Wide Bay,Outer Regional Australia,Local Road,1758
Greater Geelong,Geelong,Inner Regional Australia,Arterial Road,1759
Horsham,North West,Outer Regional Australia,Sub-arterial Road,1760
Swan,Perth - North East,Inner Regional Australia,National or State Highway,1761
Livingstone,Central Queensland,Remote Australia,Sub-arterial Road,1762
Camden,Sydney - South West,Major Cities of Australia,Sub-arterial Road,1763
Shoalhaven,Southern Highlands and Shoalhaven,Inner Regional Australia,Access road,1764
Ashburton,Western Australia - Outback (North),Very Remote Australia,National or State Highway,1765
Randwick,Sydney - Eastern Suburbs,Major Cities of Australia,Access road,1766
South Perth,Perth - South East,Major Cities of Australia,National or State Highway,1767
Victoria Daly,Northern Territory - Outback,Very Remote Australia,Access road,1768
Denmark,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,1769
Brookton,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,1770
Burke,Queensland - Outback,Very Remote Australia,Sub-arterial Road,1771
Queanbeyan-Palerang,Capital Region,Inner Regional Australia,Sub-arterial Road,1772
Unincorporated ACT,Australian Capital Territory,Inner Regional Australia,National or State Highway,1773
Hinchinbrook,Townsville,Outer Regional Australia,National or State Highway,1774
Canada Bay,Sydney - Inner West,Major Cities of Australia,Local Road,1775
Strathfield,Sydney - Inner West,Major Cities of Australia,Collector Road,1776
Central Darling,Far West and Orana,Very Remote Australia,National or State Highway,1777
Melbourne,Melbourne - Inner,Major Cities of Australia,Pedestrian Thoroughfare,1778
Streaky Bay,South Australia - Outback,Very Remote Australia,National or State Highway,1779
Port Hedland,Western Australia - Outback (North),Very Remote Australia,Local Road,1780
Darebin,Melbourne - Inner,Major Cities of Australia,Arterial Road,1781
Longreach,Queensland - Outback,Very Remote Australia,Sub-arterial Road,1782
Mount Alexander,Bendigo,Inner Regional Australia,Local Road,1783
Whitehorse,Melbourne - Outer East,Major Cities of Australia,Local Road,1784
Mid-Western,Central West,Outer Regional Australia,Local Road,1785
Northern Peninsula Area,Queensland - Outback,Very Remote Australia,Collector Road,1786
Nedlands,Perth - Inner,Major Cities of Australia,Local Road,1787
Brewarrina,Far West and Orana,Very Remote Australia,Access road,1788
Stirling,Perth - North West,Major Cities of Australia,Arterial Road,1789
Mid Murray,South Australia - South East,Inner Regional Australia,National or State Highway,1790
Wingecarribee,Southern Highlands and Shoalhaven,Inner Regional Australia,Access road,1791
Coomalie ,Northern Territory - Outback,Remote Australia,Local Road,1792
Gingin,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1793
Stirling,Perth - Inner,Major Cities of Australia,Arterial Road,1794
Central Coast (NSW),Central Coast,Inner Regional Australia,Sub-arterial Road,1795
Franklin Harbour,South Australia - Outback,Remote Australia,Arterial Road,1796
Northern Beaches,Sydney - Northern Beaches,Inner Regional Australia,Collector Road,1797
Coorong,South Australia - South East,Inner Regional Australia,Local Road,1798
Lane Cove,Sydney - North Sydney and Hornsby,Major Cities of Australia,Arterial Road,1799
Central Desert,Northern Territory - Outback,Very Remote Australia,Arterial Road,1800
Waroona,Bunbury,Inner Regional Australia,National or State Highway,1801
Palmerston,Darwin,Outer Regional Australia,Local Road,1802
Waverley,Sydney - Eastern Suburbs,Major Cities of Australia,Arterial Road,1803
Naracoorte Lucindale,South Australia - South East,Outer Regional Australia,Local Road,1804
Cunderdin,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,1805
Marion,Adelaide - South,Major Cities of Australia,Local Road,1806
Cootamundra-Gundagai,Riverina,Outer Regional Australia,Arterial Road,1807
Berrigan,Murray,Inner Regional Australia,Arterial Road,1808
Perth,Perth - Inner,Major Cities of Australia,Local Road,1809
Barunga West,Barossa - Yorke - Mid North,Outer Regional Australia,Arterial Road,1810
Greater Geraldton,Western Australia - Outback (South),Remote Australia,National or State Highway,1811
Horsham,North West,Outer Regional Australia,Collector Road,1812
Lake Grace,Western Australia - Wheat Belt,Remote Australia,Arterial Road,1813
Bayswater,Perth - North East,Major Cities of Australia,Arterial Road,1814
Kyogle,Richmond - Tweed,Inner Regional Australia,National or State Highway,1815
Alpine,Hume,Inner Regional Australia,Arterial Road,1816
Murrindindi,Hume,Inner Regional Australia,Local Road,1817
Byron,Richmond - Tweed,Inner Regional Australia,Local Road,1818
Loddon,Bendigo,Outer Regional Australia,National or State Highway,1819
Broomehill-Tambellup,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,1820
Western Downs,Darling Downs - Maranoa,Outer Regional Australia,Collector Road,1821
Latrobe (Tas.),West and North West,Outer Regional Australia,Arterial Road,1822
Mundaring,Perth - North East,Inner Regional Australia,National or State Highway,1823
Mundaring,Perth - North East,Major Cities of Australia,National or State Highway,1824
Blayney,Central West,Outer Regional Australia,National or State Highway,1825
Tumby Bay,South Australia - Outback,Remote Australia,Sub-arterial Road,1826
Jerramungup,Western Australia - Wheat Belt,Remote Australia,National or State Highway,1827
Tatiara,South Australia - South East,Outer Regional Australia,Sub-arterial Road,1828
Halls Creek,Western Australia - Outback (North),Very Remote Australia,Arterial Road,1829
Scenic Rim,Gold Coast,Inner Regional Australia,Collector Road,1830
Mount Gambier,South Australia - South East,Outer Regional Australia,Local Road,1831
Kiama,Illawarra,Major Cities of Australia,Local Road,1832
Victoria Park,Perth - South East,Major Cities of Australia,Local Road,1833
Western Downs,Darling Downs - Maranoa,Remote Australia,Sub-arterial Road,1834
Oberon,Central West,Inner Regional Australia,Arterial Road,1835
Ryde,Sydney - Ryde,Major Cities of Australia,Collector Road,1836
Kalamunda,Perth - South East,Major Cities of Australia,National or State Highway,1837
Mitchell,Melbourne - North East,Major Cities of Australia,Collector Road,1838
Yarra,Melbourne - Inner,Major Cities of Australia,Collector Road,1839
West Tamar,Launceston and North East,Outer Regional Australia,Arterial Road,1840
Vincent,Perth - Inner,Major Cities of Australia,Local Road,1841
Cranbrook,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,1842
Huon Valley,South East,Outer Regional Australia,Local Road,1843
Canada Bay,Sydney - Inner West,Major Cities of Australia,Arterial Road,1844
Cabonne,Central West,Inner Regional Australia,National or State Highway,1845
Yilgarn,Western Australia - Wheat Belt,Remote Australia,Arterial Road,1846
Livingstone,Central Queensland,Outer Regional Australia,Local Road,1847
Willoughby,Sydney - North Sydney and Hornsby,Major Cities of Australia,National or State Highway,1848
Break O'Day,Launceston and North East,Remote Australia,National or State Highway,1849
Ipswich,Ipswich,Inner Regional Australia,Local Road,1850
Victoria Daly,Northern Territory - Outback,Remote Australia,National or State Highway,1851
Northern Grampians,North West,Outer Regional Australia,National or State Highway,1852
Cassowary Coast,Cairns,Remote Australia,Local Road,1853
Brewarrina,Far West and Orana,Very Remote Australia,Sub-arterial Road,1854
Clarence Valley,Coffs Harbour - Grafton,Outer Regional Australia,Local Road,1855
Mandurah,Mandurah,Major Cities of Australia,Arterial Road,1856
Lachlan,Central West,Remote Australia,Sub-arterial Road,1857
Maroondah,Melbourne - Outer East,Major Cities of Australia,Collector Road,1858
Murrumbidgee,Murray,Outer Regional Australia,Arterial Road,1859
Albany,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1860
Moira,Shepparton,Outer Regional Australia,Local Road,1861
Tamworth,New England and North West,Inner Regional Australia,Sub-arterial Road,1862
Berri Barmera,South Australia - South East,Outer Regional Australia,National or State Highway,1863
Moree Plains,New England and North West,Remote Australia,National or State Highway,1864
Stonnington,Melbourne - Inner,Major Cities of Australia,Local Road,1865
Sydney,Sydney - Eastern Suburbs,Major Cities of Australia,Arterial Road,1866
Queanbeyan-Palerang,Capital Region,Major Cities of Australia,National or State Highway,1867
Glenelg,Warrnambool and South West,Outer Regional Australia,Local Road,1868
Maitland,Hunter Valley exc Newcastle,Inner Regional Australia,Sub-arterial Road,1869
Prospect,Adelaide - Central and Hills,Major Cities of Australia,Collector Road,1870
Gladstone,Central Queensland,Outer Regional Australia,Access road,1871
Yarra Ranges,Melbourne - Outer East,Major Cities of Australia,Access road,1872
Greater Geelong,Geelong,Inner Regional Australia,Local Road,1873
Bellingen,Coffs Harbour - Grafton,Inner Regional Australia,National or State Highway,1874
Mansfield,Hume,Outer Regional Australia,National or State Highway,1875
Waroona,Bunbury,Inner Regional Australia,Local Road,1876
Chapman Valley,Western Australia - Outback (South),Outer Regional Australia,Arterial Road,1877
Gold Coast,Gold Coast,Major Cities of Australia,Access road,1878
Kingston (SA),South Australia - South East,Remote Australia,Arterial Road,1879
Melton,Melbourne - West,Major Cities of Australia,Collector Road,1880
Cobar,Far West and Orana,Remote Australia,Sub-arterial Road,1881
Goyder,Barossa - Yorke - Mid North,Inner Regional Australia,Arterial Road,1882
Cook,Queensland - Outback,Very Remote Australia,Access road,1883
Greater Bendigo,Bendigo,Inner Regional Australia,Collector Road,1884
Horsham,North West,Outer Regional Australia,Local Road,1885
Pyrenees,Ballarat,Inner Regional Australia,Sub-arterial Road,1886
Launceston,Launceston and North East,Outer Regional Australia,Arterial Road,1887
Berrigan,Murray,Inner Regional Australia,Sub-arterial Road,1888
Golden Plains,Ballarat,Inner Regional Australia,National or State Highway,1889
Wakefield,Barossa - Yorke - Mid North,Outer Regional Australia,Local Road,1890
Bega Valley,Capital Region,Outer Regional Australia,Access road,1891
East Arnhem,Northern Territory - Outback,Very Remote Australia,Arterial Road,1892
Mandurah,Mandurah,Inner Regional Australia,Local Road,1893
Launceston,Launceston and North East,Outer Regional Australia,Sub-arterial Road,1894
Maribyrnong,Melbourne - West,Major Cities of Australia,Sub-arterial Road,1895
Lockyer Valley,Toowoomba,Inner Regional Australia,Local Road,1896
Blue Mountains,Sydney - Outer West and Blue Mountains,Major Cities of Australia,Arterial Road,1897
Boroondara,Melbourne - Inner East,Major Cities of Australia,Collector Road,1898
Bayside (Vic.),Melbourne - Inner South,Major Cities of Australia,National or State Highway,1899
Tatiara,South Australia - South East,Outer Regional Australia,National or State Highway,1900
Orange,Central West,Inner Regional Australia,Sub-arterial Road,1901
Inner West,Sydney - City and Inner South,Major Cities of Australia,Local Road,1902
Yass Valley,Capital Region,Major Cities of Australia,Arterial Road,1903
Loddon,Bendigo,Outer Regional Australia,Local Road,1904
Stonnington,Melbourne - Inner,Major Cities of Australia,Sub-arterial Road,1905
Randwick,Sydney - City and Inner South,Major Cities of Australia,National or State Highway,1906
Toodyay,Western Australia - Wheat Belt,Inner Regional Australia,Local Road,1907
Oberon,Central West,Outer Regional Australia,Sub-arterial Road,1908
Hawkesbury,Sydney - Outer West and Blue Mountains,Major Cities of Australia,Local Road,1909
Greater Geraldton,Western Australia - Outback (South),Remote Australia,Local Road,1910
Kalamunda,Perth - South East,Inner Regional Australia,Arterial Road,1911
Boddington,Western Australia - Wheat Belt,Inner Regional Australia,National or State Highway,1912
Maranoa,Darling Downs - Maranoa,Remote Australia,Sub-arterial Road,1913
Warrnambool,Warrnambool and South West,Inner Regional Australia,Access road,1914
Mareeba,Queensland - Outback,Remote Australia,Sub-arterial Road,1915
Light,Adelaide - North,Inner Regional Australia,Arterial Road,1916
Northampton,Western Australia - Outback (South),Remote Australia,National or State Highway,1917
Coolamon,Riverina,Outer Regional Australia,National or State Highway,1918
Upper Lachlan,Capital Region,Inner Regional Australia,Local Road,1919
South Gippsland,Latrobe - Gippsland,Outer Regional Australia,Local Road,1920
Bayside (NSW),Sydney - Inner South West,Major Cities of Australia,Access road,1921
East Pilbara,Western Australia - Outback (North),Very Remote Australia,Arterial Road,1922
Clarence Valley,Coffs Harbour - Grafton,Outer Regional Australia,Sub-arterial Road,1923
Kondinin,Western Australia - Wheat Belt,Remote Australia,National or State Highway,1924
Knox,Melbourne - Outer East,Major Cities of Australia,Collector Road,1925
Carnarvon,Western Australia - Outback (South),Very Remote Australia,National or State Highway,1926
Canada Bay,Sydney - Inner West,Major Cities of Australia,National or State Highway,1927
Carnamah,Western Australia - Outback (South),Remote Australia,National or State Highway,1928
Kentish,West and North West,Outer Regional Australia,Arterial Road,1929
Manningham,Melbourne - Outer East,Major Cities of Australia,Local Road,1930
Kellerberrin,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,1931
West Torrens,Adelaide - West,Major Cities of Australia,Local Road,1932
Kalamunda,Perth - North East,Inner Regional Australia,Arterial Road,1933
Balonne,Darling Downs - Maranoa,Very Remote Australia,Local Road,1934
Burdekin,Townsville,Outer Regional Australia,Access road,1935
Georges River,Sydney - Inner South West,Major Cities of Australia,National or State Highway,1936
Moreton Bay,Moreton Bay - North,Inner Regional Australia,Local Road,1937
Barcoo,Queensland - Outback,Very Remote Australia,Sub-arterial Road,1938
Alpine,Hume,Outer Regional Australia,Access road,1939
Clare and Gilbert Valleys,Barossa - Yorke - Mid North,Inner Regional Australia,Arterial Road,1940
Unincorporated NSW,Far West and Orana,Remote Australia,Arterial Road,1941
Alice Springs,Northern Territory - Outback,Remote Australia,Arterial Road,1942
Murray River,Murray,Remote Australia,National or State Highway,1943
Hilltops,Capital Region,Inner Regional Australia,Sub-arterial Road,1944
The Hills,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,National or State Highway,1945
West Tamar,Launceston and North East,Outer Regional Australia,Local Road,1946
Melbourne,Melbourne - Inner,Major Cities of Australia,National or State Highway,1947
Strathfield,Sydney - Inner West,Major Cities of Australia,National or State Highway,1948
Ararat,Ballarat,Inner Regional Australia,National or State Highway,1949
Banyule,Melbourne - North East,Major Cities of Australia,Access road,1950
Tablelands,Cairns,Remote Australia,Local Road,1951
Northam,Western Australia - Wheat Belt,Inner Regional Australia,Arterial Road,1952
Wagait,Northern Territory - Outback,Remote Australia,Sub-arterial Road,1953
Weipa,Queensland - Outback,Very Remote Australia,Local Road,1954
Snowy Valleys,Riverina,Inner Regional Australia,Arterial Road,1955
Cunderdin,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,1956
Somerset,Moreton Bay - North,Inner Regional Australia,Sub-arterial Road,1957
Uralla,New England and North West,Inner Regional Australia,Access road,1958
Isaac,Mackay - Isaac - Whitsunday,Remote Australia,Collector Road,1959
Wyndham,Melbourne - West,Inner Regional Australia,Arterial Road,1960
Newcastle,Newcastle and Lake Macquarie,Major Cities of Australia,Sub-arterial Road,1961
Central Darling,Far West and Orana,Very Remote Australia,Sub-arterial Road,1962
Sydney,Sydney - City and Inner South,Major Cities of Australia,Access road,1963
Burdekin,Townsville,Outer Regional Australia,Sub-arterial Road,1964
Barossa,Adelaide - North,Major Cities of Australia,Collector Road,1965
Pyrenees,Ballarat,Outer Regional Australia,Arterial Road,1966
Pormpuraaw,Queensland - Outback,Very Remote Australia,Local Road,1967
Wandering,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,1968
Mount Remarkable,Barossa - Yorke - Mid North,Outer Regional Australia,Sub-arterial Road,1969
Quairading,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,1970
Ballarat,Ballarat,Inner Regional Australia,Collector Road,1971
Kangaroo Island,South Australia - South East,Remote Australia,Collector Road,1972
Wongan-Ballidu,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1973
Karratha,Western Australia - Outback (North),Very Remote Australia,National or State Highway,1974
Blue Mountains,Sydney - Outer West and Blue Mountains,Major Cities of Australia,Sub-arterial Road,1975
Victoria Daly,Northern Territory - Outback,Remote Australia,Arterial Road,1976
Bourke,Far West and Orana,Very Remote Australia,Arterial Road,1977
Brisbane,Brisbane Inner City,Major Cities of Australia,Access road,1978
Leeton,Riverina,Outer Regional Australia,Arterial Road,1979
Bathurst,Central West,Outer Regional Australia,Arterial Road,1980
Coorong,South Australia - South East,Inner Regional Australia,National or State Highway,1981
Whyalla,South Australia - Outback,Outer Regional Australia,Collector Road,1982
Fremantle,Perth - South West,Major Cities of Australia,Arterial Road,1983
Surf Coast,Geelong,Inner Regional Australia,National or State Highway,1984
Redland,Brisbane - East,Remote Australia,Access road,1985
Meander Valley,Launceston and North East,Outer Regional Australia,Arterial Road,1986
Tweed,Richmond - Tweed,Major Cities of Australia,Sub-arterial Road,1987
Western Downs,Darling Downs - Maranoa,Remote Australia,Local Road,1988
Burnside,Adelaide - Central and Hills,Major Cities of Australia,Arterial Road,1989
Blayney,Central West,Inner Regional Australia,Arterial Road,1990
Sydney,Sydney - Eastern Suburbs,Major Cities of Australia,Collector Road,1991
Kellerberrin,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,1992
Victoria Plains,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,1993
Gannawarra,North West,Outer Regional Australia,Arterial Road,1994
Cootamundra-Gundagai,Riverina,Inner Regional Australia,Arterial Road,1995
Moora,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1996
Hornsby,Sydney - North Sydney and Hornsby,Major Cities of Australia,Arterial Road,1997
Richmond Valley,Coffs Harbour - Grafton,Outer Regional Australia,Arterial Road,1998
Horsham,North West,Outer Regional Australia,Arterial Road,1999
Colac Otway,Warrnambool and South West,Inner Regional Australia,National or State Highway,2000
Derwent Valley,Hobart,Inner Regional Australia,Collector Road,2001
